total_return_pct,final_capital,trades,win_rate,profit_factor,avg_win,avg_loss,best_trade,worst_trade,max_drawdown,long_trades,short_trades,liquidated,st_period,st_mult,ao_fast,ao_slow,vol_threshold,sl_atr_mult,ts_activation,ts_trail_atr_mult
25.18,125.18,40,62.5,1.04,2.3994,-3.8402,6.4713,-6.4505,-28.4,22,18,False,10,2.0,7,21,1.5,4.0,3.0,2.0
25.16,125.16,53,52.83,1.1,2.272,-2.3178,7.6523,-4.8379,-29.16,28,25,False,10,2.0,7,21,1.3,3.0,2.0,3.0
25.16,125.16,54,44.44,1.22,3.8595,-2.5286,9.4245,-4.9139,-57.06,31,23,False,14,4.0,7,21,1.5,3.0,1.5,3.0
25.13,125.13,44,61.36,1.15,2.9449,-4.0684,6.6498,-6.3801,-31.31,27,17,False,10,2.0,7,34,1.3,4.0,3.0,1.5
24.93,124.93,33,54.55,0.94,2.9519,-3.7692,6.3979,-6.4644,-37.59,20,13,False,7,2.0,5,34,1.5,3.0,3.0,2.0
24.44,124.44,47,59.57,0.98,2.8553,-4.2987,6.3474,-6.8368,-39.91,27,20,False,7,2.0,5,34,1.3,4.0,3.0,1.5
24.44,124.44,60,56.67,1.12,2.4573,-2.8721,6.4687,-4.5633,-42.16,31,29,False,14,2.0,5,21,1.3,3.0,3.0,2.0
24.43,124.43,41,60.98,1.01,1.9497,-3.0014,3.8623,-4.8379,-29.82,23,18,False,10,2.0,7,21,1.5,3.0,2.0,1.5
24.37,124.37,40,55.0,1.1,2.5883,-2.8714,7.5002,-4.0774,-32.28,24,16,False,14,2.0,7,34,1.5,3.0,3.0,3.0
23.91,123.91,49,57.14,1.01,2.6136,-3.4492,7.7287,-6.9895,-29.02,29,20,False,14,2.0,7,34,1.3,4.0,2.0,3.0
23.47,123.47,52,57.69,1.1,2.2099,-2.7472,7.6523,-6.4505,-23.33,27,25,False,10,2.0,7,21,1.3,4.0,2.0,3.0
23.4,123.4,34,70.59,1.07,1.6358,-3.6543,6.3474,-6.5939,-20.99,20,14,False,7,2.0,5,34,1.5,4.0,1.5,1.5
23.24,123.24,49,59.18,1.06,3.039,-4.1443,8.5397,-7.7853,-40.1,27,22,False,10,2.0,5,34,1.3,4.0,3.0,2.0
22.76,122.76,40,50.0,1.14,2.4208,-2.1291,6.1059,-2.7183,-41.31,24,16,False,14,2.0,7,34,1.5,2.0,2.0,2.0
22.53,122.53,58,53.45,1.1,2.537,-2.6525,7.9745,-5.1589,-54.19,32,26,False,7,2.0,5,21,1.3,3.0,3.0,3.0
22.33,122.33,40,60.0,1.07,2.1142,-2.9668,4.3395,-4.0774,-34.36,24,16,False,14,2.0,7,34,1.5,3.0,2.0,1.5
22.31,122.31,36,63.89,1.0,2.638,-4.6494,6.4453,-7.7853,-41.37,20,16,False,10,2.0,5,34,1.5,4.0,2.0,2.0
22.1,122.1,39,66.67,1.02,1.9089,-3.7322,3.8623,-6.4505,-20.51,21,18,False,10,2.0,7,21,1.5,4.0,2.0,1.5
21.87,121.87,46,54.35,1.02,2.6024,-3.0359,7.6879,-6.8785,-37.01,26,20,False,7,2.0,7,21,1.3,4.0,3.0,3.0
21.34,121.34,33,57.58,0.92,2.592,-3.8426,6.3979,-6.4644,-38.33,20,13,False,7,2.0,5,34,1.5,3.0,2.0,2.0
21.18,121.18,34,61.76,1.04,2.5394,-3.9521,6.0509,-6.8785,-28.25,21,13,False,7,2.0,7,21,1.5,4.0,3.0,2.0
20.89,120.89,65,61.54,0.95,2.1673,-3.632,6.1059,-6.246,-46.66,38,27,False,14,2.0,7,34,1.0,4.0,2.0,2.0
20.84,120.84,58,62.07,1.09,2.4359,-3.6689,6.4687,-6.0845,-35.69,29,29,False,14,2.0,5,21,1.3,4.0,3.0,2.0
20.52,120.52,36,52.78,1.01,3.098,-3.4364,6.6498,-5.839,-44.65,20,16,False,10,2.0,5,34,1.5,3.0,3.0,1.5
19.38,119.38,49,65.31,0.96,2.0249,-3.9723,4.3395,-6.9895,-27.28,29,20,False,14,2.0,7,34,1.3,4.0,2.0,1.5
19.36,119.36,40,55.0,0.95,2.1242,-2.7342,4.8697,-4.8379,-31.11,22,18,False,10,2.0,7,21,1.5,3.0,3.0,3.0
19.08,119.08,34,64.71,1.02,2.2056,-3.9768,6.0509,-6.8785,-28.24,21,13,False,7,2.0,7,21,1.5,4.0,2.0,2.0
18.98,118.98,40,70.0,1.18,1.5655,-3.087,4.3395,-5.4366,-29.29,24,16,False,14,2.0,7,34,1.5,4.0,1.5,1.5
18.62,118.62,35,62.86,0.94,1.73,-3.1151,3.2987,-5.1589,-20.54,22,13,False,7,2.0,7,21,1.5,3.0,2.0,1.5
18.62,118.62,35,54.29,0.98,2.2429,-2.7134,4.6423,-5.1589,-28.63,22,13,False,7,2.0,7,21,1.5,3.0,3.0,3.0
18.51,118.51,52,48.08,1.2,3.9022,-3.0187,9.4245,-6.5518,-42.64,30,22,False,14,4.0,7,21,1.5,4.0,1.5,3.0
18.19,118.19,36,61.11,0.98,2.8571,-4.5787,6.4453,-7.7853,-42.56,20,16,False,10,2.0,5,34,1.5,4.0,3.0,2.0
18.14,118.14,54,59.26,0.97,1.9112,-2.8546,4.3395,-5.2421,-43.56,27,27,False,14,2.0,7,21,1.3,3.0,2.0,1.5
17.78,117.78,30,73.33,1.21,1.5135,-3.4485,6.3474,-6.5939,-21.01,19,11,False,7,2.0,7,34,1.5,4.0,1.5,1.5
